Quarter,LABSHORTYES
2015Q1,21
2015Q2,19
2015Q3,17
2015Q4,18
2016Q1,20
2016Q2,19
2016Q3,24
2016Q4,28
2017Q1,19
2017Q2,25
2017Q3,25
2017Q4,30
2018Q1,26
2018Q2,34
2018Q3,37
2018Q4,37
2019Q1,19
2019Q2,26
2019Q3,34
2019Q4,31
2020Q1,28
2020Q2,13
2020Q3,25
2020Q4,33
2021Q1,22
2021Q2,23
